ReNummer;SummeNetto;MwStSatz;ZahlungsbetragBrutto;KdNr;Summenebenkosten;ReDatum;Zahlungsdatum
103277;576.00;0;0.00;80517;0.00;2025-03-12 00:00:00.000;NULL
103276;1000.00;0;0.00;10251;0.00;2025-03-12 00:00:00.000;NULL
103275;2000.00;7;2140.00;10838;0.00;2025-03-12 00:00:00.000;2025-03-27 00:00:00.000
103274;350.00;7;374.50;10383;0.00;2025-03-12 00:00:00.000;2025-03-19 00:00:00.000
103273;2950.00;7;3156.50;20038;0.00;2025-03-12 00:00:00.000;2025-03-18 00:00:00.000
103272;11000.00;7;11770.00;20608;0.00;2025-03-12 00:00:00.000;2025-03-27 00:00:00.000
103271;200.00;0;200.00;73250;0.00;2025-03-12 00:00:00.000;2025-03-13 00:00:00.000
103270;2200.00;0;2200.00;30137;0.00;2025-03-12 00:00:00.000;2025-03-28 00:00:00.000
103269;1325.00;7;1417.75;10905;0.00;2025-03-12 00:00:00.000;2025-03-25 00:00:00.000
103268;200.00;7;214.00;20020;0.00;2025-03-12 00:00:00.000;2025-03-19 00:00:00.000
103267;800.00;0;795.00;78378;5.00;2025-03-12 00:00:00.000;2025-03-19 00:00:00.000
103266;3500.00;7;3745.00;20020;0.00;2025-03-12 00:00:00.000;2025-03-19 00:00:00.000
103265;2000.00;7;2140.00;11190;0.00;2025-03-12 00:00:00.000;2025-03-20 00:00:00.000
103264;1591.77;0;0.00;12209;0.00;2025-03-12 00:00:00.000;NULL
103263;210.00;7;224.70;20348;0.00;2025-03-12 00:00:00.000;2025-03-21 00:00:00.000
103262;253.31;0;253.31;11663;0.00;2025-03-12 00:00:00.000;2025-03-31 00:00:00.000
103261;75.00;7;80.25;12512;0.00;2025-03-11 00:00:00.000;2025-03-17 00:00:00.000
103260;1225.00;0;0.00;79796;0.00;2025-03-11 00:00:00.000;NULL
103259;666.65;0;657.80;81168;8.85;2025-03-11 00:00:00.000;2025-03-12 00:00:00.000
103258;250.00;0;250.00;80409;0.00;2025-03-11 00:00:00.000;2025-03-17 00:00:00.000
103257;2250.00;0;0.00;80874;0.00;2025-03-11 00:00:00.000;NULL
103256;167.00;0;167.00;80522;0.00;2025-03-11 00:00:00.000;2025-03-19 00:00:00.000
103255;6000.00;0;0.00;20223;0.00;2025-03-11 00:00:00.000;NULL
103254;400.00;7;0.00;80343;0.00;2025-03-11 00:00:00.000;NULL
103253;75.00;7;80.25;20893;0.00;2025-02-28 00:00:00.000;2025-03-17 00:00:00.000
103252;100.00;7;107.00;10495;0.00;2025-03-10 00:00:00.000;2025-03-11 00:00:00.000
103251;1333.33;0;1333.33;78695;0.00;2025-03-11 00:00:00.000;2025-03-26 00:00:00.000
103250;350.00;0;350.00;79199;0.00;2025-03-11 00:00:00.000;2025-03-14 00:00:00.000
103249;1166.67;0;0.00;79791;0.00;2025-03-11 00:00:00.000;NULL
103248;37.00;7;39.59;12122;0.00;2025-02-28 00:00:00.000;2025-03-06 00:00:00.000
103247;111.00;7;118.77;12122;0.00;2025-02-28 00:00:00.000;2025-03-06 00:00:00.000
103246;166.50;7;178.17;12122;0.00;2025-02-28 00:00:00.000;2025-03-06 00:00:00.000
103245;55.50;7;59.39;12122;0.00;2025-02-28 00:00:00.000;2025-03-06 00:00:00.000
103244;18.50;7;19.80;10237;0.00;2025-02-28 00:00:00.000;2025-03-06 00:00:00.000
103243;35.70;0;0.00;80244;0.00;2025-03-10 00:00:00.000;NULL
103242;29.00;7;31.03;10233;0.00;2025-03-10 00:00:00.000;2025-03-12 00:00:00.000
103241;802.87;0;787.85;81357;15.02;2025-03-10 00:00:00.000;2025-03-17 00:00:00.000
103240;1312.00;0;1312.00;81068;0.00;2025-03-10 00:00:00.000;2025-03-21 00:00:00.000
103239;48.00;7;51.36;10207;0.00;2025-03-10 00:00:00.000;2025-03-14 00:00:00.000
103238;148.00;7;158.36;10207;0.00;2025-03-10 00:00:00.000;2025-03-14 00:00:00.000
103237;172.69;0;172.69;80950;0.00;2025-03-10 00:00:00.000;2025-03-24 00:00:00.000
103236;60.00;7;64.20;70658;0.00;2025-03-04 00:00:00.000;2025-03-04 00:00:00.000
103235;240.00;0;240.00;79046;0.00;2025-03-10 00:00:00.000;2025-03-10 00:00:00.000
103234;292.00;0;292.00;79631;0.00;2025-03-10 00:00:00.000;2025-03-21 00:00:00.000
103233;642.00;0;0.00;80201;0.00;2025-03-10 00:00:00.000;NULL
103232;2917.00;0;0.00;79222;0.00;2025-03-10 00:00:00.000;NULL
103231;625.00;0;625.00;80562;0.00;2025-03-10 00:00:00.000;2025-03-17 00:00:00.000
103230;1000.00;0;0.00;80837;0.00;2025-03-10 00:00:00.000;NULL
103229;333.33;0;0.00;80875;0.00;2025-03-10 00:00:00.000;NULL
103228;1668.53;0;0.00;80876;0.00;2025-03-10 00:00:00.000;NULL
103227;420.00;0;420.00;80843;0.00;2025-03-10 00:00:00.000;2025-03-11 00:00:00.000
103226;625.00;0;625.00;79026;0.00;2025-03-10 00:00:00.000;2025-03-14 00:00:00.000
103225;24.00;7;25.68;10207;0.00;2025-03-10 00:00:00.000;2025-03-14 00:00:00.000
103224;297.95;0;276.60;79699;21.35;2025-03-10 00:00:00.000;2025-03-10 00:00:00.000
103223;297.50;0;297.50;80518;0.00;2025-03-10 00:00:00.000;2025-03-19 00:00:00.000
103222;100.00;7;107.00;20143;0.00;2025-03-10 00:00:00.000;2025-03-14 00:00:00.000
103221;100.00;7;107.00;20664;0.00;2025-03-10 00:00:00.000;2025-03-24 00:00:00.000
103220;125.00;7;0.00;20664;0.00;2025-03-10 00:00:00.000;NULL
103219;50.00;7;53.50;20664;0.00;2025-03-10 00:00:00.000;2025-03-24 00:00:00.000
103218;350.00;7;374.50;20664;0.00;2025-03-10 00:00:00.000;2025-03-24 00:00:00.000
103217;35.00;7;37.45;20664;0.00;2025-03-10 00:00:00.000;2025-03-14 00:00:00.000
103216;130.00;7;139.10;20664;0.00;2025-03-10 00:00:00.000;2025-03-14 00:00:00.000
103215;100.00;7;107.00;20664;0.00;2025-03-10 00:00:00.000;2025-03-14 00:00:00.000
103214;60.00;7;64.20;20664;0.00;2025-03-10 00:00:00.000;2025-03-14 00:00:00.000
103213;397.81;0;397.81;20943;0.00;2025-03-10 00:00:00.000;2025-03-06 00:00:00.000
103212;410.79;0;390.25;11525;20.54;2025-03-10 00:00:00.000;2025-03-28 00:00:00.000
103211;415.13;0;415.13;81319;0.00;2025-03-10 00:00:00.000;2025-03-13 00:00:00.000
103210;70.00;7;0.00;73972;0.00;2025-03-10 00:00:00.000;NULL
103209;2250.00;7;2407.50;10813;0.00;2025-02-28 00:00:00.000;2025-03-05 00:00:00.000
103208;40.00;7;42.80;10369;0.00;2025-03-05 00:00:00.000;2025-03-07 00:00:00.000
103207;87.00;7;0.00;72474;0.00;2025-03-07 00:00:00.000;NULL
103206;120.00;7;128.40;10411;0.00;2025-02-28 00:00:00.000;2025-03-04 00:00:00.000
103205;250.00;7;267.50;20664;0.00;2025-03-07 00:00:00.000;2025-03-13 00:00:00.000
103204;635.00;7;679.45;20664;0.00;2025-03-07 00:00:00.000;2025-03-12 00:00:00.000
103203;350.00;7;374.50;11981;0.00;2025-03-06 00:00:00.000;2025-03-07 00:00:00.000
103202;882.00;7;943.74;20137;0.00;2025-03-07 00:00:00.000;2025-03-13 00:00:00.000
103201;538.00;7;575.66;10249;0.00;2025-03-06 00:00:00.000;2025-03-25 00:00:00.000
103200;120.00;7;128.40;20197;0.00;2025-03-06 00:00:00.000;2025-03-07 00:00:00.000
103199;72.00;7;77.04;10292;0.00;2025-03-06 00:00:00.000;2025-03-07 00:00:00.000
103198;406.00;7;434.42;10292;0.00;2025-03-06 00:00:00.000;2025-03-07 00:00:00.000
103197;4599.00;7;0.00;74026;0.00;2025-03-06 00:00:00.000;NULL
103196;322.00;7;344.54;10292;0.00;2025-03-06 00:00:00.000;2025-03-07 00:00:00.000
103195;1098.00;7;1174.86;20213;0.00;2025-03-06 00:00:00.000;2025-03-07 00:00:00.000
103194;74.00;7;79.18;20018;0.00;2025-03-06 00:00:00.000;2025-03-07 00:00:00.000
103193;115.06;7;123.10;20122;0.00;2025-03-06 00:00:00.000;2025-03-07 00:00:00.000
103192;1600.00;7;1712.00;75241;0.00;2025-03-06 00:00:00.000;2025-03-26 00:00:00.000
103191;16.00;0;16.00;81316;0.00;2025-03-06 00:00:00.000;2025-03-07 00:00:00.000
103190;1100.00;7;1177.00;80517;0.00;2025-03-06 00:00:00.000;2025-03-25 00:00:00.000
103189;6464.00;0;6464.00;72680;0.00;2025-03-06 00:00:00.000;2025-03-21 00:00:00.000
103188;316.19;0;300.38;20585;15.81;2025-03-06 00:00:00.000;2025-03-19 00:00:00.000
103187;1269.72;0;1269.72;75564;0.00;2025-03-06 00:00:00.000;2025-02-28 00:00:00.000
103186;14158.00;0;0.00;81329;0.00;2025-03-06 00:00:00.000;NULL
103185;44950.00;0;0.00;78536;0.00;2025-03-06 00:00:00.000;NULL
103184;4322.00;0;0.00;78536;0.00;2025-03-06 00:00:00.000;NULL
103183;3200.00;0;3200.00;80254;0.00;2025-03-06 00:00:00.000;2025-03-28 00:00:00.000
103182;753.00;7;805.71;79666;0.00;2025-03-05 00:00:00.000;2025-03-05 00:00:00.000
103181;165.42;0;165.42;20943;0.00;2025-03-05 00:00:00.000;2025-02-07 00:00:00.000
103180;6155.71;19;7325.29;40003;0.00;2025-02-28 00:00:00.000;2025-03-10 00:00:00.000
103179;671.51;0;671.51;21048;0.00;2025-03-05 00:00:00.000;2025-03-21 00:00:00.000
103178;107.91;0;107.91;80028;0.00;2025-03-05 00:00:00.000;2025-03-31 00:00:00.000
103177;30.00;7;32.10;73100;0.00;2025-03-05 00:00:00.000;2025-03-17 00:00:00.000
103176;243.00;7;0.00;20172;0.00;2025-03-05 00:00:00.000;NULL
103175;66.00;7;70.62;78157;0.00;2025-03-05 00:00:00.000;2025-03-05 00:00:00.000
103174;575.00;7;615.25;73187;0.00;2025-03-05 00:00:00.000;2025-03-17 00:00:00.000
103173;1650.00;7;1765.50;78157;0.00;2025-03-05 00:00:00.000;2025-03-05 00:00:00.000
103172;275.00;7;294.25;73187;0.00;2025-03-05 00:00:00.000;2025-03-17 00:00:00.000
103171;40.00;7;0.00;80535;0.00;2025-03-05 00:00:00.000;NULL
103170;1749.00;7;1871.43;79691;0.00;2025-03-05 00:00:00.000;2025-03-12 00:00:00.000
103169;100.00;0;94.17;81342;5.83;2025-03-05 00:00:00.000;2025-03-12 00:00:00.000
103168;901.00;7;964.07;80578;0.00;2025-03-04 00:00:00.000;2025-03-12 00:00:00.000
103167;300.00;0;300.00;79829;0.00;2025-02-24 00:00:00.000;2025-02-24 00:00:00.000
103166;437.04;0;437.04;79829;0.00;2025-02-24 00:00:00.000;2025-02-24 00:00:00.000
103165;234.00;7;0.00;81138;0.00;2025-03-04 00:00:00.000;NULL
103164;44.00;7;47.08;80078;0.00;2025-03-04 00:00:00.000;2025-03-06 00:00:00.000
103163;99.00;0;0.00;81344;0.00;2025-03-04 00:00:00.000;NULL
103162;60.00;7;64.20;10375;0.00;2025-02-28 00:00:00.000;2025-03-04 00:00:00.000
103161;230.00;7;246.10;79475;0.00;2025-03-04 00:00:00.000;1899-12-30 20:03:00.000
103160;40.00;0;40.00;81249;0.00;2025-03-04 00:00:00.000;2025-03-05 00:00:00.000
103159;483.89;0;0.00;79945;0.00;2025-03-04 00:00:00.000;NULL
103158;583.00;7;623.81;10775;0.00;2025-03-05 00:00:00.000;2025-03-11 00:00:00.000
103157;616.66;0;0.00;81333;0.00;2025-02-28 00:00:00.000;NULL
103156;76.70;7;82.06;10669;0.00;2025-03-04 00:00:00.000;2025-03-11 00:00:00.000
103155;84.00;7;89.88;10775;0.00;2025-03-04 00:00:00.000;2025-03-11 00:00:00.000
103154;53.00;0;0.00;11034;0.00;2025-03-04 00:00:00.000;NULL
103153;9541.35;0;0.00;80071;0.00;2025-03-04 00:00:00.000;NULL
103152;40.50;7;43.34;20843;0.00;2025-03-04 00:00:00.000;2025-03-17 00:00:00.000
103151;112.50;7;120.38;20843;0.00;2025-03-04 00:00:00.000;2025-03-20 00:00:00.000
103150;12594.58;0;0.00;79705;0.00;2025-03-04 00:00:00.000;NULL
103149;1100.00;7;0.00;80517;0.00;2025-03-03 00:00:00.000;NULL
103148;200.00;0;191.64;79630;8.36;2025-03-03 00:00:00.000;2025-03-11 00:00:00.000
103147;130.00;0;0.00;80275;0.00;2025-03-03 00:00:00.000;NULL
103146;693.00;7;0.00;80602;0.00;2025-03-03 00:00:00.000;NULL
103145;540.00;7;0.00;80602;0.00;2025-03-03 00:00:00.000;NULL
103144;1103.00;0;1049.95;79497;53.05;2025-03-03 00:00:00.000;2025-03-07 00:00:00.000
103143;16200.00;0;16200.00;78892;0.00;2025-03-03 00:00:00.000;2025-03-07 00:00:00.000
103142;3588.00;0;0.00;72450;0.00;2025-03-03 00:00:00.000;NULL
103141;270.00;7;288.90;10383;0.00;2025-03-03 00:00:00.000;2025-03-12 00:00:00.000
103140;140.00;7;149.80;20485;0.00;2025-02-28 00:00:00.000;2025-03-04 00:00:00.000
103139;3500.00;0;3500.00;81314;0.00;2025-03-03 00:00:00.000;2025-03-19 00:00:00.000
103138;700.00;7;749.00;79682;0.00;2025-03-03 00:00:00.000;2025-03-06 00:00:00.000
103137;825.00;0;825.00;79253;0.00;2025-03-03 00:00:00.000;2025-03-05 00:00:00.000
103136;58.00;7;62.06;10233;0.00;2025-02-27 00:00:00.000;2025-03-05 00:00:00.000
103135;29.00;7;31.03;10233;0.00;2025-02-27 00:00:00.000;2025-03-05 00:00:00.000
103134;375.00;7;401.25;78666;0.00;2025-03-03 00:00:00.000;2025-03-10 00:00:00.000
103133;150.00;7;160.50;81297;0.00;2025-03-03 00:00:00.000;2025-03-17 00:00:00.000
103132;1400.00;7;1498.00;72998;0.00;2025-03-03 00:00:00.000;2025-03-12 00:00:00.000
103131;2800.00;7;0.00;81303;0.00;2025-03-03 00:00:00.000;NULL
103130;2400.00;7;2568.00;81341;0.00;2025-03-03 00:00:00.000;2025-03-11 00:00:00.000
103129;400.00;0;377.96;81226;22.04;2025-03-01 00:00:00.000;2025-03-03 00:00:00.000
103128;1000.00;0;0.00;81227;0.00;2025-03-01 00:00:00.000;NULL
103127;969.61;0;946.25;81168;23.36;2025-03-01 00:00:00.000;2025-03-20 00:00:00.000
103126;600.00;0;600.00;81312;0.00;2025-03-01 00:00:00.000;2025-03-04 00:00:00.000
103125;1000.00;7;1070.00;81251;0.00;2025-03-01 00:00:00.000;2025-03-05 00:00:00.000
103124;450.00;7;481.50;81169;0.00;2025-03-01 00:00:00.000;2025-03-03 00:00:00.000
103123;375.00;0;0.00;81097;0.00;2025-03-01 00:00:00.000;NULL
103122;3750.00;0;3750.00;75284;0.00;2025-03-01 00:00:00.000;2025-03-05 00:00:00.000
103121;10500.00;7;0.00;76835;0.00;2025-03-01 00:00:00.000;NULL
103120;145.00;0;145.00;81044;0.00;2025-03-01 00:00:00.000;2025-03-27 00:00:00.000
103119;700.00;0;0.00;80918;0.00;2025-03-01 00:00:00.000;NULL
103118;1500.00;0;1500.00;80847;0.00;2025-03-01 00:00:00.000;2025-03-06 00:00:00.000
103117;2750.00;7;2942.50;79059;0.00;2025-03-01 00:00:00.000;2025-03-10 00:00:00.000
103116;650.00;7;0.00;78468;0.00;2025-03-01 00:00:00.000;NULL
103115;900.00;7;963.00;80534;0.00;2025-03-01 00:00:00.000;2025-03-04 00:00:00.000
103114;208.00;0;0.00;79348;0.00;2025-03-01 00:00:00.000;NULL
103113;2400.00;7;2568.00;20650;0.00;2025-03-01 00:00:00.000;2025-03-14 00:00:00.000
103112;100.00;0;0.00;80190;0.00;2025-03-01 00:00:00.000;NULL
103111;800.00;7;856.00;10384;0.00;2025-03-01 00:00:00.000;2025-03-11 00:00:00.000
103110;195.00;7;208.65;12053;0.00;2025-03-01 00:00:00.000;2025-03-10 00:00:00.000
103109;1042.00;7;1114.94;10290;0.00;2025-03-01 00:00:00.000;2025-03-11 00:00:00.000
103108;7500.00;0;0.00;79584;0.00;2025-03-01 00:00:00.000;NULL
103107;1300.00;7;0.00;20697;0.00;2025-03-01 00:00:00.000;NULL
103106;2500.00;7;0.00;10049;0.00;2025-03-01 00:00:00.000;NULL
103105;166.00;0;0.00;79560;0.00;2025-03-01 00:00:00.000;NULL
103104;1000.00;7;0.00;75752;0.00;2025-03-01 00:00:00.000;NULL
103103;23000.00;7;24610.00;10039;0.00;2025-03-01 00:00:00.000;2025-03-18 00:00:00.000
103102;400.00;7;428.00;78020;0.00;2025-03-01 00:00:00.000;2025-03-13 00:00:00.000
103101;2500.00;7;2675.00;20827;0.00;2025-03-01 00:00:00.000;2025-03-13 00:00:00.000
103100;155.95;7;166.87;79210;0.00;2025-03-01 00:00:00.000;2025-03-05 00:00:00.000
103099;495.00;0;495.00;72631;0.00;2025-03-01 00:00:00.000;2025-04-02 00:00:00.000
103098;100.00;0;0.00;79148;0.00;2025-03-01 00:00:00.000;NULL
103097;1200.00;0;1200.00;79149;0.00;2025-03-01 00:00:00.000;2025-03-18 00:00:00.000
103096;600.00;7;642.00;79041;0.00;2025-03-01 00:00:00.000;2025-03-18 00:00:00.000
103095;1700.00;7;0.00;76875;0.00;2025-03-01 00:00:00.000;NULL
103094;475.00;7;508.25;74026;0.00;2025-03-01 00:00:00.000;2025-03-10 00:00:00.000
103093;600.00;7;642.00;73561;0.00;2025-03-01 00:00:00.000;2025-03-07 00:00:00.000
103092;380.00;0;380.00;11194;0.00;2025-03-01 00:00:00.000;2025-03-04 00:00:00.000
103091;3000.00;0;3000.00;20013;0.00;2025-03-01 00:00:00.000;2025-03-19 00:00:00.000
103090;500.00;0;500.00;20013;0.00;2025-03-01 00:00:00.000;2025-03-27 00:00:00.000
103089;1100.00;0;1100.00;20013;0.00;2025-03-01 00:00:00.000;2025-03-27 00:00:00.000
103088;1400.00;7;1498.00;20013;0.00;2025-03-01 00:00:00.000;2025-03-27 00:00:00.000
103087;3600.00;7;3852.00;20013;0.00;2025-03-01 00:00:00.000;2025-03-27 00:00:00.000
103086;28500.00;7;30495.00;78468;0.00;2025-03-01 00:00:00.000;2025-03-12 00:00:00.000
103085;8600.00;7;9202.00;20913;0.00;2025-03-01 00:00:00.000;2025-03-07 00:00:00.000
103084;316.00;7;338.12;20743;0.00;2025-03-01 00:00:00.000;2025-03-12 00:00:00.000
103083;1550.00;0;1550.00;10616;0.00;2025-03-01 00:00:00.000;2025-04-01 00:00:00.000
103082;3599.00;7;3850.93;20080;0.00;2025-03-01 00:00:00.000;2025-03-21 00:00:00.000
103081;1700.00;7;1819.00;12603;0.00;2025-03-01 00:00:00.000;2025-03-06 00:00:00.000
103080;5750.00;7;6152.50;20267;0.00;2025-03-01 00:00:00.000;2025-03-07 00:00:00.000
103079;9500.00;7;0.00;20731;0.00;2025-03-01 00:00:00.000;NULL
103078;4800.00;7;5136.00;73221;0.00;2025-03-01 00:00:00.000;2025-03-06 00:00:00.000
103077;160.00;0;160.00;80797;0.00;2025-02-28 00:00:00.000;2025-03-18 00:00:00.000
103076;3940.00;7;4215.80;79220;0.00;2025-02-28 00:00:00.000;2025-03-10 00:00:00.000
103075;2380.00;7;2546.60;78277;0.00;2025-02-28 00:00:00.000;2025-03-21 00:00:00.000
103074;925.00;7;989.75;78277;0.00;2025-02-28 00:00:00.000;2025-03-21 00:00:00.000
103073;60.52;0;60.52;80028;0.00;2025-02-28 00:00:00.000;2025-02-28 00:00:00.000
103072;1062.40;7;1136.77;11104;0.00;2025-02-28 00:00:00.000;2025-03-13 00:00:00.000
103071;500.00;0;483.60;81337;16.40;2025-02-28 00:00:00.000;2025-03-04 00:00:00.000
103070;450.00;0;450.00;81340;0.00;2025-02-28 00:00:00.000;2025-03-14 00:00:00.000
103069;2843.92;7;3042.99;40003;0.00;2025-02-28 00:00:00.000;2025-02-28 00:00:00.000
103068;1950.00;7;2086.50;12132;0.00;2025-03-01 00:00:00.000;2025-03-03 00:00:00.000
103067;700.00;7;749.00;77680;0.00;2025-03-01 00:00:00.000;2025-03-03 00:00:00.000
103066;1750.00;7;1872.50;10952;0.00;2025-03-01 00:00:00.000;2025-03-10 00:00:00.000
103065;805.00;7;861.35;77174;0.00;2025-03-01 00:00:00.000;2025-03-11 00:00:00.000
103064;1250.00;7;1337.50;75745;0.00;2025-03-01 00:00:00.000;2025-03-05 00:00:00.000
103063;650.00;7;695.50;75254;0.00;2025-03-01 00:00:00.000;2025-03-03 00:00:00.000
103062;275.00;7;294.25;12324;0.00;2025-03-01 00:00:00.000;2025-03-19 00:00:00.000
103061;6500.00;7;6955.00;72455;0.00;2025-03-01 00:00:00.000;2025-03-24 00:00:00.000
103060;100.00;7;0.00;10349;0.00;2025-03-01 00:00:00.000;NULL
103059;545.50;7;583.69;75232;0.00;2025-03-01 00:00:00.000;2025-03-07 00:00:00.000
103058;466.00;0;466.00;50286;0.00;2025-03-01 00:00:00.000;2025-03-13 00:00:00.000
103057;2639.00;0;2639.00;20993;0.00;2025-03-01 00:00:00.000;2025-03-13 00:00:00.000
103056;1300.00;7;1391.00;72874;0.00;2025-03-01 00:00:00.000;2025-03-12 00:00:00.000
103055;4600.00;0;0.00;72120;0.00;2025-03-01 00:00:00.000;NULL
103054;1350.00;7;1444.50;20639;0.00;2025-03-01 00:00:00.000;2025-03-14 00:00:00.000
103053;340.00;7;363.80;11480;0.00;2025-03-01 00:00:00.000;2025-03-13 00:00:00.000
103052;4000.00;7;0.00;20434;0.00;2025-03-01 00:00:00.000;NULL
103051;172.00;7;0.00;20361;0.00;2025-03-01 00:00:00.000;NULL
103050;4200.00;7;4494.00;20342;0.00;2025-03-01 00:00:00.000;2025-03-11 00:00:00.000
103049;1990.00;7;2129.30;10216;0.00;2025-03-01 00:00:00.000;2025-03-06 00:00:00.000
103048;525.00;7;561.75;72632;0.00;2025-03-01 00:00:00.000;2025-03-17 00:00:00.000
103047;1100.00;7;1177.00;20444;0.00;2025-03-01 00:00:00.000;2025-03-11 00:00:00.000
103046;3750.00;0;3750.00;10722;0.00;2025-03-01 00:00:00.000;2025-03-06 00:00:00.000
103045;13750.00;0;13750.00;10964;0.00;2025-03-01 00:00:00.000;2025-03-27 00:00:00.000
103044;7500.00;7;8025.00;20121;0.00;2025-03-01 00:00:00.000;2025-03-14 00:00:00.000
103043;2250.00;7;2407.50;12082;0.00;2025-03-01 00:00:00.000;2025-03-10 00:00:00.000
103042;169.00;7;180.83;12348;0.00;2025-03-01 00:00:00.000;2025-03-06 00:00:00.000
103041;3900.00;7;4173.00;12197;0.00;2025-03-01 00:00:00.000;2025-03-17 00:00:00.000
103040;20500.00;7;21935.00;12187;0.00;2025-03-01 00:00:00.000;2025-03-18 00:00:00.000
103039;196.00;7;209.72;10207;0.00;2025-02-27 00:00:00.000;2025-03-06 00:00:00.000
103038;2500.00;7;2675.00;10851;0.00;2025-03-01 00:00:00.000;2025-03-07 00:00:00.000
103037;12500.00;7;13375.00;20054;0.00;2025-03-01 00:00:00.000;2025-03-14 00:00:00.000
103036;5624.13;0;5461.22;78911;162.91;2025-02-27 00:00:00.000;2025-04-01 00:00:00.000
103035;144.00;7;154.08;20288;0.00;2025-02-27 00:00:00.000;2025-03-03 00:00:00.000
103034;180.00;7;192.60;20524;0.00;2025-02-27 00:00:00.000;2025-02-28 00:00:00.000
103033;436.06;0;436.06;79945;0.00;2025-02-27 00:00:00.000;2025-04-01 00:00:00.000
103032;1572.28;0;1545.20;78911;27.08;2025-02-27 00:00:00.000;2025-04-02 00:00:00.000
103031;3144.57;0;3144.57;78911;0.00;2025-02-27 00:00:00.000;2025-04-01 00:00:00.000
103030;170.00;7;181.90;20610;0.00;2025-02-27 00:00:00.000;2025-03-07 00:00:00.000
103029;1454.00;7;1555.78;79666;0.00;2025-02-26 00:00:00.000;2025-02-26 00:00:00.000
103028;4480.00;0;4470.00;79396;10.00;2025-02-26 00:00:00.000;2025-03-31 00:00:00.000
103027;1020.60;0;1020.60;11250;0.00;2025-02-26 00:00:00.000;2025-03-12 00:00:00.000
103026;460.00;7;492.20;20251;0.00;2025-01-31 00:00:00.000;2025-02-11 00:00:00.000
103025;15444.00;0;0.00;78281;0.00;2025-02-25 00:00:00.000;NULL
103024;85.00;7;90.95;10183;0.00;2025-02-25 00:00:00.000;2025-03-04 00:00:00.000
103023;150.00;7;160.50;77116;0.00;2025-02-25 00:00:00.000;2025-02-26 00:00:00.000
103022;240.00;7;256.80;12034;0.00;2025-02-25 00:00:00.000;1899-12-30 20:03:00.000
103021;301.34;0;0.00;81336;0.00;2025-02-25 00:00:00.000;NULL
103020;964.07;0;0.00;81168;0.00;2025-02-25 00:00:00.000;NULL
103019;4140.00;0;0.00;72824;0.00;2025-02-25 00:00:00.000;NULL
103018;3960.00;0;0.00;72824;0.00;2025-02-25 00:00:00.000;NULL
103017;350.00;7;374.50;80894;0.00;2025-02-24 00:00:00.000;2025-02-28 00:00:00.000
103016;35.00;0;0.00;80026;0.00;2025-02-25 00:00:00.000;NULL
103015;4500.00;0;4500.00;80338;0.00;2025-02-24 00:00:00.000;2025-03-04 00:00:00.000
103014;2768.00;7;2961.76;79666;0.00;2025-02-19 00:00:00.000;2025-02-19 00:00:00.000
103013;258.92;7;277.04;20115;0.00;2025-02-12 00:00:00.000;2025-02-13 00:00:00.000
103012;220.00;7;235.40;11302;0.00;2025-02-10 00:00:00.000;2025-02-13 00:00:00.000
103011;80.00;7;85.60;73247;0.00;2025-02-10 00:00:00.000;2025-02-13 00:00:00.000
103010;700.00;7;749.00;10275;0.00;2025-01-31 00:00:00.000;2025-02-20 00:00:00.000
103009;10213.00;7;10927.91;20005;0.00;2025-02-13 00:00:00.000;2025-02-13 00:00:00.000
103008;60.48;0;60.48;10696;0.00;2025-02-20 00:00:00.000;2025-03-17 00:00:00.000
103007;3687.55;0;3687.55;78042;0.00;2025-02-20 00:00:00.000;2025-03-03 00:00:00.000
103006;185.85;0;0.00;20651;0.00;2025-02-20 00:00:00.000;NULL
103005;550.00;7;588.50;72637;0.00;2025-02-20 00:00:00.000;2025-03-03 00:00:00.000
103004;70.00;7;74.90;11535;0.00;2025-02-20 00:00:00.000;2025-03-06 00:00:00.000
103003;8400.00;0;8400.00;80849;0.00;2025-02-20 00:00:00.000;2025-03-14 00:00:00.000
103002;853.08;0;810.43;78568;42.65;2025-02-20 00:00:00.000;2025-02-25 00:00:00.000
103001;130.00;7;139.10;20524;0.00;2025-02-20 00:00:00.000;2025-02-25 00:00:00.000
103000;297.50;0;297.50;80518;0.00;2025-02-20 00:00:00.000;2025-02-24 00:00:00.000
102999;964.80;0;868.32;78567;96.48;2025-02-20 00:00:00.000;2025-02-25 00:00:00.000
102998;10800.00;0;10800.00;80849;0.00;2025-02-20 00:00:00.000;2025-03-14 00:00:00.000
102997;527.88;0;527.88;78566;0.00;2025-02-20 00:00:00.000;2025-02-25 00:00:00.000
102996;6200.00;7;6634.00;12392;0.00;2025-02-20 00:00:00.000;2025-02-28 00:00:00.000
102995;2292.00;7;2452.44;72804;0.00;2025-02-20 00:00:00.000;2025-03-10 00:00:00.000
102994;104.00;7;111.28;80346;0.00;2025-02-20 00:00:00.000;2024-11-13 00:00:00.000
102993;75.00;7;80.25;79184;0.00;2025-02-20 00:00:00.000;2025-03-05 00:00:00.000
102992;947.00;7;1013.29;79475;0.00;2025-02-19 00:00:00.000;2025-03-06 00:00:00.000
102991;750.00;0;750.00;80188;0.00;2025-02-19 00:00:00.000;2025-03-03 00:00:00.000
102990;750.00;0;750.00;80188;0.00;2025-02-19 00:00:00.000;2025-03-03 00:00:00.000
